section_name,output
NAME,REDACTED
PROFILE OVERVIEW,"Seasoned supply chain professional focused on Control Tower analytics and automation, with expertise in **SQL**, **Python**, **R**, **Power BI**, **Databricks**, **ETL** and **SAP**. Experienced in demand planning, data warehousing, dashboarding and automating pipelines to reduce costs, improve availability and save FTE hours."
PROFESSIONAL EDUCATION,"Bachelor of Science, Mechanical Engineering"
INDUSTRY EXPERIENCE,Consumer Goods and Services
FUNCTIONAL EXPERIENCE,"Demand Planning Manager
Supply Chain Analyst
Data Warehousing Analyst
Data Engineer Specialist
BI Reporting Analyst"
CERTIFICATIONS/TRAINING,"Power BI
Python
SQL
R
Databricks
KNIME
ETL
SAP
Azure
Power Automate
MATLAB"
LANGUAGES,"Spanish C2
German C2
English C1"
Role_1,"Demand Planner Manager
Led operation strategy and daily production scheduling with plant and brand managers, driving a 5 percentage-point revenue increase in 8 months using advanced forecasting techniques with **Python**, **KNIME**, and **SQL**.
Designed and implemented **Databricks** ETL pipelines and automated allocation dashboards in **Power BI**, reducing inter-plant transport costs by $50,000/month.
Coordinated ETL workflows for production prioritization and container offloading using **Excel** and **Python**, achieving 60 DOH safety stock and zero NPI cost.
Built **Databricks** dashboards, **Azure** pipelines and automation scripts to streamline reporting, saving the equivalent of 100 FTE hours."
Role_2,"Finished & Raw Product Analytics Manager
Owned end-to-end imports and led a 4-person team while co-facilitating PDCA reviews to track logistics and production performance using **SAP** and analytics.
Orchestrated Just-In-Time inbound flows through daily alignment with regional and national planners/buyers, cutting lead time by 5 days and improving supply responsiveness.
Built reporting methodologies with **Excel**, **Power Automate**, **SAP**, and **Power BI** to identify extra costs and deliver monthly savings of $40,000 (container lay-time) and $25,000 (customs).
Implemented inventory and allocation analytics to optimize finished and raw product flows leveraging **ETL** practices and data visualization."
Role_3,"Customer Team Logistics Analyst
Drove continuous improvement of plant/DC maintenance events by visualizing KPIs and detecting out-of-target issues using **KNIME** and **Power BI**.
Managed **SAP** purchase order data extraction using **Excel**, **KNIME**, and **Python** to produce **Power BI** reports that raised on-shelf availability from 82% to 90%+.
Reduced Cost-to-Serve by 15% through data-driven reporting and process changes and developed ETL solutions and quality logistics procedures for high-volume and hazardous shipments.
Coordinated cross-functional stakeholders to navigate import constraints and improve shipment compliance using **ETL** and analytics."
